id,name,image,keyword_one,keyword_two,keyword_three,price,brand,description
52,"microsoft headset Venenatis",../images/products/steelseries-headset.webp,"Noise cancelling",Wireless,"Dolby audio",52,microsoft,"Mauris a nunc sed tellus maximus viverra sit amet et nibh. Interdum et malesuada fames ac ante ipsum primis in faucibus. Suspendisse luctus suscipit orci, pellentesque sodales nibh rutrum at. Mauris finibus quis odio eu efficitur. Ut laoreet, lacus in mollis pretium, lorem velit viverra ipsum, et consectetur lorem elit ac velit."
53,"asus headset Nisl",../images/products/logitech-headset.png,"Noise cancelling","Dolby audio",Wireless,53,asus,"Vivamus laoreet lacus nec rhoncus semper. Suspendisse non pulvinar massa. Nunc gravida lectus ut mi suscipit tempor id vel lacus. Aliquam eleifend lectus sit amet ligula mollis, ac feugiat erat sagittis. Sed eget lorem vel risus tincidunt aliquam. Duis nec tortor at ante aliquet sodales. Morbi cursus efficitur ornare."
54,"hyperx headset Vitae",../images/products/steelseries-headset.webp,"Dolby audio",Wireless,"Noise cancelling",54,hyperx,"Cras ut magna volutpat, luctus odio et, sodales justo. Cras enim leo, laoreet eget urna nec, semper lacinia diam. Praesent rutrum finibus arcu bibendum pretium. Mauris quis urna nec mauris ultricies tempor. Praesent auctor tempus dui sed fringilla. Nulla tincidunt risus non fringilla consectetur."
55,"razer headset Ligula",../images/products/tt-headset.png,Wireless,"Dolby audio","Noise cancelling",55,razer,"Morbi sollicitudin sapien neque, sit amet rutrum libero blandit ultricies. Mauris mollis lorem elit. Proin volutpat egestas ex non aliquam. Vestibulum semper, erat et feugiat lacinia, turpis urna mollis lectus, eget consectetur ligula urna non diam. Vivamus quis posuere orci. Nam vulputate tempus felis, quis fringilla est hendrerit vitae."
56,"razer headset Rhoncus",../images/products/tt-headset.png,"Dolby audio",Wireless,"Noise cancelling",56,razer,"Etiam egestas tincidunt varius. Donec sed sodales quam. Nullam eget nisl nec mi semper volutpat. Sed pellentesque pharetra risus. Suspendisse pellentesque felis vel dolor consectetur, sodales efficitur leo malesuada. In hac habitasse platea dictumst. Curabitur dapibus libero non ultricies tincidunt."
57,"logitech laptop consectetur",../images/products/asus-laptop.png,"12 hours battery","4k display","Ultra HD",57,logitech,"Morbi vel sapien neque. Phasellus vel erat non dolor varius dapibus. In euismod suscipit volutpat. Proin lacinia eu leo sed cursus. Ut viverra rutrum metus, aliquam mollis dolor dignissim imperdiet. Donec sollicitudin augue ut tincidunt suscipit. Quisque at diam augue. Praesent vulputate erat id ex vehicula, in vehicula massa egestas."
58,"microsoft laptop Adipiscing",../images/products/budget-laptop.png,"4k display","12 hours battery","Ultra HD",58,microsoft,"Sed condimentum, tortor eu aliquam accumsan, ipsum massa lacinia metus, vel imperdiet neque risus ornare dolor. Proin dignissim suscipit fringilla. Fusce pharetra metus ac ipsum tempus congue. Mauris id sagittis lectus. Curabitur velit eros, ultricies sit amet laoreet id, sodales vel arcu. Nullam euismod sagittis orci, nec porta odio condimentum sed."
59,"asus laptop elit",../images/products/nvidia-laptop.png,"Ultra HD","4k display","12 hours battery",59,asus,"Aenean commodo egestas sem, nec ultrices odio egestas sed. Quisque tempor dictum porttitor. Quisque ultrices at est nec lobortis. Phasellus ut vestibulum felis, ac tincidunt turpis. Phasellus at leo sit amet mauris pretium dapibus at vel arcu. Ut et dolor ut dolor laoreet hendrerit sed in ex."
60,"hyperx laptop Morbi",../images/products/rog-laptop.png,"Ultra HD","12 hours battery","4k display",60,hyperx,"Donec massa neque, sagittis vitae hendrerit in, porta quis arcu. Aenean cursus cursus nulla eu ultrices. Proin pellentesque nisl at bibendum sagittis. Morbi et malesuada nibh. Fusce nibh mauris, blandit eu congue nec, sodales sed lectus. Curabitur ac mi placerat, interdum turpis a, scelerisque quam. Morbi suscipit viverra lectus at feugiat. Etiam id velit interdum risus viverra viverra vestibulum dapibus purus. Donec nunc erat, consequat vitae metus eget, vestibulum eleifend neque."
61,"apple laptop Non",../images/products/laptop-plant.jpg,"12 hours battery","4k display","Ultra HD",61,apple,"Praesent dictum gravida risus, eu molestie nisi. Integer ut justo at elit placerat ullamcorper. Sed vel maximus augue. Praesent id malesuada neque, vitae dapibus nisi. Aenean sed erat in massa dapibus ornare. Phasellus pellentesque non nibh nec blandit. Donec sodales enim vel enim pretium, vehicula molestie arcu suscipit."
62,"razer laptop tristique",../images/products/strix-laptop.png,"4k display","12 hours battery","Ultra HD",62,razer,"Nam sit amet tortor vitae quam suscipit ullamcorper. In efficitur odio suscipit nibh tristique, in bibendum leo interdum. Nam porta ultrices lectus, eu mattis enim semper vitae. Donec ac sem dictum neque auctor tincidunt id auctor odio. Maecenas semper dolor arcu. Sed in augue hendrerit, interdum odio at, pharetra ante."
63,"logitech laptop turpis",../images/products/budget-laptop.png,"Ultra HD","4k display","12 hours battery",63,logitech,"Etiam ex dolor, suscipit in leo a, faucibus consequat ex. Vivamus ante mauris, aliquet et lobortis eget, porta ac metus. In eros nunc, malesuada ut nunc vitae, dapibus sagittis risus. Aliquam in aliquam arcu. Vivamus faucibus, risus sed interdum imperdiet, metus mauris imperdiet sem, sit amet rhoncus urna turpis nec mauris."
64,"microsoft laptop Vel",../images/products/asus-laptop.png,"Ultra HD","12 hours battery","4k display",64,microsoft,"Proin eu vehicula mauris. Integer imperdiet faucibus leo. Nulla aliquet auctor lacus in sagittis. Sed iaculis elementum urna, vitae rhoncus neque pulvinar non. Donec accumsan interdum leo vel porta. Vestibulum eu nibh enim. Pellentesque ultricies elementum tortor, id mollis velit facilisis ac. Suspendisse potenti. Suspendisse condimentum arcu ac diam venenatis aliquet."
65,"asus laptop Susipit",../images/products/rog-laptop.png,"12 hours battery","4k display","Ultra HD",65,asus,"Proin in leo scelerisque felis gravida ornare vitae in sapien. Nam quis sapien sem. Nulla vitae enim id libero aliquam consectetur. Cras posuere ullamcorper sapien, ut tincidunt dolor condimentum at. Quisque interdum efficitur ante quis accumsan. Duis ultrices sollicitudin enim, sit amet molestie eros malesuada a. Proin vel dapibus purus. Etiam a elementum turpis. Nullam id libero convallis, pulvinar purus varius, gravida augue. Nunc lobortis placerat metus eget scelerisque."
66,"apple laptop Tellus",../images/products/asus-laptop.png,"4k display","12 hours battery","Ultra HD",66,apple,"Sed non nisl vel libero fermentum consectetur ac sit amet ligula. Quisque ac gravida neque, eget pretium elit. Mauris placerat nulla sit amet justo cursus, ac tincidunt leo sollicitudin. Donec blandit tellus a ante finibus, eget mattis quam tristique. Proin fermentum hendrerit viverra. Sed a ante ut felis pharetra porttitor condimentum in massa."
67,"razer laptop Sed",../images/products/nvidia-laptop.png,"Ultra HD","4k display","12 hours battery",67,razer,"Curabitur rutrum enim mauris, sed sagittis massa venenatis nec. Praesent eleifend tempor orci. Nam feugiat cursus sagittis. Sed viverra iaculis libero egestas molestie. Praesent volutpat vitae ante non tincidunt. Suspendisse elementum dignissim neque vitae mattis. In feugiat sapien nisl, in dignissim magna consectetur at. In finibus metus sed tincidunt ullamcorper."
68,"logitech laptop congue",../images/products/laptop-plant.jpg,"Ultra HD","12 hours battery","4k display",68,logitech,"Integer sed varius risus, ut maximus ex. Aliquam ac arcu risus. Cras nec est non lorem blandit semper nec sed magna. Nullam faucibus ut nunc a suscipit. Aliquam ac leo non nibh congue auctor eget id libero. Nulla eleifend, nibh id ullamcorper facilisis, orci quam efficitur neque, at euismod dolor lorem et libero. Pellentesque et facilisis neque."
69,"hyperx laptop diginissim",../images/products/rog-laptop.png,"12 hours battery","4k display","Ultra HD",69,hyperx,"Vestibulum pellentesque odio in venenatis molestie. Curabitur quis nisi leo. Pellentesque quis rutrum tellus. Aliquam erat volutpat. Donec rutrum ex nec velit tincidunt, quis blandit ante auctor. Ut imperdiet ultrices dui quis dictum. Etiam quis eros nec orci tempor fermentum. Nam tristique, ex nec elementum pellentesque, ex odio blandit nulla, id egestas augue sem a nisi."
70,"apple laptop nunc",../images/products/strix-laptop.png,"4k display","12 hours battery","Ultra HD",70,apple,"Sed semper tempor turpis nec elementum. Nulla sit amet arcu et purus fermentum consectetur. Nunc gravida eleifend metus, ac efficitur dui vehicula at. Pellentesque semper tellus non lorem malesuada dignissim. Nulla vestibulum, urna ut venenatis varius, ante turpis molestie libero, sed venenatis massa urna ut nulla. Nunc dictum risus sit amet sapien tristique ullamcorper. Suspendisse sagittis volutpat est nec rutrum."
71,"razer laptop facilisis",../images/products/laptop-pencil.jpg,"Ultra HD","4k display","12 hours battery",71,razer,"Aliquam vitae auctor risus. Etiam sagittis et turpis ut sollicitudin. Sed lacinia lacinia cursus. Vivamus commodo at ante iaculis luctus. Phasellus vestibulum commodo scelerisque. Nulla in odio lacinia libero commodo rhoncus in at augue. Cras tincidunt lacus metus, eget auctor velit vestibulum sed. Maecenas eget elementum ante."
72,"logitech laptop Gravida",../images/products/rog-laptop.png,"Ultra HD","12 hours battery","4k display",72,logitech,"Nunc dictum, orci ut venenatis volutpat, justo orci ultrices quam, a suscipit justo tortor ac risus. Phasellus et enim varius, vestibulum velit eget, sollicitudin urna. Morbi odio diam, vulputate id dui pellentesque, imperdiet semper nulla. Maecenas fringilla odio et cursus consectetur."
73,"microsoft laptop Etiam",../images/products/nvidia-laptop.png,"12 hours battery","4k display","Ultra HD",73,microsoft,"Donec volutpat ut urna at aliquam. Aliquam ultrices, orci in mollis tincidunt, leo erat pellentesque justo, et vehicula turpis felis sed turpis. Nullam ipsum odio, tristique non vestibulum nec, tincidunt ac odio. Pellentesque sed diam sit amet felis malesuada auctor quis in turpis. Aliquam commodo purus quis mi mollis, vitae pellentesque nisi blandit. In dignissim, nisl sit amet elementum sagittis, mauris elit semper ipsum, ac fringilla eros ante sit amet velit."
74,"asus laptop Ornare",../images/products/budget-laptop.png,"4k display","12 hours battery","Ultra HD",74,asus,"Proin ac sapien ligula. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mauris at vehicula ex. Morbi nisl nibh, eleifend eget nibh sed, luctus tempor lectus. Etiam nec fermentum ex. Nunc imperdiet ullamcorper semper. Proin sit amet lectus eu purus pulvinar gravida et vitae enim. Curabitur tempor venenatis diam ut molestie. Fusce quis semper ante, dictum congue enim."
75,"apple laptop Posuere",../images/products/asus-laptop.png,"Ultra HD","4k display","12 hours battery",75,apple,"Quisque auctor, purus quis varius auctor, sapien tellus scelerisque metus, ut sollicitudin risus sem feugiat turpis. Nulla facilisi. Nunc id hendrerit est, eget porta mauris. Sed vitae consequat diam. Proin a pretium nunc. Donec ornare massa velit, quis laoreet odio consectetur vitae. Aenean in tortor a mauris pretium consequat vitae nec metus."
76,"razer monitor Due",../images/products/acer-monitor.png,Curved,"144 hz","32 inch",76,razer,"Maecenas posuere justo in nisi finibus, at sagittis nulla condimentum. Suspendisse a blandit ex. Nulla blandit sapien eu est consectetur porttitor. Vivamus blandit sit amet tortor at finibus. Nam eget ullamcorper purus. Nullam eu dignissim eros, sed euismod dui. Vestibulum laoreet urna quis lorem placerat, sed dictum ex commodo. Aenean leo quam, dignissim et pretium ac, mollis id erat."
77,"logitech monitorMagna",../images/products/asus-monitor.png,"32 inch",Curved,"144 hz",77,logitech,"Quisque facilisis ex in tempus dignissim. Maecenas at molestie eros, in luctus metus. Sed convallis tellus quis posuere semper. Curabitur quis iaculis elit. Etiam facilisis lectus a egestas eleifend. Integer id viverra massa. In tempor vestibulum vestibulum. Nulla in ligula elementum, efficitur quam vel, posuere justo."
78,"apple monitor hendrerit",../images/products/monitor-blue.jpg,"144 hz","32 inch",Curved,78,apple,"Nam metus justo, dignissim ac tortor non, ultricies semper diam. Duis id sapien fermentum, blandit dolor sodales, dignissim dui. Suspendisse bibendum odio nec quam sollicitudin, vitae dapibus neque aliquet. Fusce varius venenatis consequat. Aliquam sit amet porttitor dolor, ut scelerisque neque. Integer scelerisque hendrerit lobortis. Etiam sollicitudin leo id eros vestibulum elementum. In sit amet lectus non nisl viverra convallis ac quis diam."
79,"hyperx monitorquis",../images/products/dell-monitor.png,"144 hz",Curved,"32 inch",79,hyperx,"Donec nulla est, faucibus sed dictum quis, aliquet sed ipsum. Mauris aliquam bibendum velit, non convallis orci fermentum vel. Sed vitae felis lorem. In in ex vel ipsum venenatis consequat eu eget ipsum. Fusce vel fermentum augue. Morbi id est condimentum, fringilla quam convallis, vestibulum orci. Praesent efficitur tortor efficitur, efficitur ante a, tincidunt eros. Maecenas mi purus, varius et nibh eu, mattis laoreet orci. Duis auctor erat eget odio congue commodo."
80,"razer monitor Quis",../images/products/lenovo-monitor.png,Curved,"32 inch","144 hz",80,razer,"Curabitur in tempor lectus, ut ullamcorper mauris. Etiam sodales, elit sed vestibulum elementum, enim nisl fringilla lorem, id blandit odio quam in mi. In nec tortor fermentum, semper magna vehicula, molestie dolor. Duis eget risus et dui iaculis scelerisque. Praesent pulvinar, orci in consequat condimentum, nulla lectus condimentum augue, et malesuada urna sapien ut sapien."
81,"hyperx monitor In",../images/products/benq-monitor.png,"32 inch",Curved,"144 hz",81,hyperx,"Integer mattis sagittis ornare. Nulla in elit suscipit, dignissim enim nec, congue lorem. Etiam et orci vel augue volutpat facilisis. Praesent et sem ut ex facilisis laoreet. Mauris lacinia, ex id vestibulum rhoncus, augue mauris tristique felis, sed sodales ligula sem a neque. Donec euismod convallis vehicula. Cras malesuada libero a aliquet bibendum. Cras commodo in sapien dapibus imperdiet. Quisque commodo nisi ut lorem rutrum pretium. Proin lobortis euismod magna a euismod."
82,"apple monitor fringilla",../images/products/dell-monitor.png,"144 hz","32 inch",Curved,82,apple,"Maecenas ultrices risus non libero tincidunt, quis imperdiet libero ullamcorper. Sed a magna nec nulla blandit finibus. Vivamus nec nisi congue, tincidunt mauris eget, commodo risus. Etiam iaculis malesuada leo, eu bibendum nunc maximus vitae. Vestibulum eget dolor non turpis laoreet convallis. Nulla accumsan dolor dolor, sit amet porta dolor ultricies ut. Ut mollis ligula neque, a gravida lorem ornare nec. Pellentesque ut rutrum enim, at tincidunt lorem."
83,"razer monitor sapien",../images/products/monitor-blue.jpg,"144 hz",Curved,"32 inch",83,razer,"Morbi mattis in nunc eu varius. Quisque pretium nibh nulla, at pharetra nisi rhoncus eget. Aliquam nec tempus felis. Suspendisse vestibulum facilisis cursus. Vestibulum luctus dictum placerat. Morbi ullamcorper nisi vitae malesuada accumsan. Praesent ligula nulla, laoreet in ornare et, malesuada ut nibh. Donec vitae convallis massa, vel laoreet erat."
84,"logitech monitor Nulla",../images/products/lenovo-monitor.png,Curved,"32 inch","144 hz",84,logitech,"Aliquam lobortis sit amet sem id semper. Phasellus gravida pellentesque faucibus. Morbi consequat arcu a magna semper imperdiet. Praesent sagittis suscipit nibh, nec tincidunt ipsum vestibulum vel. Curabitur nec dolor sed velit efficitur malesuada pulvinar id ligula. Mauris justo lectus, tincidunt ac facilisis sit amet, pretium quis nunc. Integer id egestas mi. Donec et suscipit leo. Maecenas varius eleifend mauris, in iaculis libero malesuada et."
85,"microsoft monitor Trincidunt",../images/products/benq-monitor.png,"32 inch",Curved,"144 hz",85,microsoft,"Mauris fringilla ullamcorper turpis et aliquet. Maecenas bibendum interdum est eget cursus. Praesent quam nisi, porttitor semper rhoncus vel, ullamcorper eget leo. Morbi lacus est, laoreet et tortor nec, semper tristique massa. Nunc cursus mauris eget neque facilisis, in lobortis nisi aliquet. Phasellus malesuada elit id velit egestas vestibulum. Suspendisse aliquam sed est eu vehicula. Aliquam efficitur quam in turpis tincidunt, quis lobortis risus suscipit."
86,"asus monitor Et",../images/products/monitor-red.jpg,"144 hz","32 inch",Curved,86,asus,"Donec vulputate tempus ipsum quis porta. Nulla dictum, lacus ac pretium porta, felis elit facilisis eros, in aliquet orci massa vitae odio. Sed eleifend nibh vitae mi varius fermentum. Fusce varius orci nec est accumsan, et ornare lacus ultrices. Nulla convallis elementum nisl tristique condimentum."
87,"apple monitor nisl",../images/products/asus-monitor.png,"144 hz",Curved,"32 inch",87,apple,"Pellentesque rutrum, urna at egestas laoreet, elit mi euismod odio, ut ultrices mauris orci quis est. Proin in tortor pulvinar, porttitor magna a, consectetur nisi. Sed volutpat mi suscipit pharetra ultricies. Mauris et leo vulputate, aliquet turpis mollis, rhoncus nisi. Donec in eros in sapien porta hendrerit. Suspendisse fermentum ex ac nisi iaculis dictum. Vestibulum mollis tortor vitae nulla laoreet dictum. Sed id orci dui. Sed et maximus tortor."
88,"razer monitor at",../images/products/benq-monitor.png,Curved,"32 inch","144 hz",88,razer,"Duis consectetur tincidunt sem eu blandit. Aenean auctor mollis ligula, nec interdum lectus vulputate at. Nullam leo ex, placerat egestas mollis eu, finibus nec mi. Aliquam pharetra, lacus a feugiat tempor, massa enim blandit libero, ut suscipit sem nisl eu enim. Morbi pulvinar nulla non justo sodales, quis laoreet turpis iaculis. Sed eu porta nisi, et sagittis lectus. Quisque nec nulla ex. Morbi ac imperdiet urna, eu aliquet quam."
89,"microsoft monitor Placerate",../images/products/monitor-red.jpg,"32 inch",Curved,"144 hz",89,microsoft,"Donec faucibus dolor nibh. Fusce efficitur mauris neque, et mattis erat luctus vitae. Integer velit mi, aliquet at metus in, finibus semper neque. Ut condimentum, nisl ut laoreet aliquam, arcu lectus dapibus nunc, et ultrices velit enim in lectus. Vestibulum a commodo tortor, id tincidunt quam. Nulla eu leo sit amet lacus faucibus varius vestibulum tristique enim. Curabitur consequat dictum purus sed ultricies. Etiam viverra vestibulum pretium."
90,"logitech monitor Donec",../images/products/dell-monitor.png,"144 hz","32 inch",Curved,90,logitech,"Sed suscipit, odio vitae semper lobortis, ipsum tortor suscipit justo, non dictum arcu diam et est. Duis elementum egestas elit, vitae placerat massa maximus in. Proin vel tellus diam. Suspendisse id eros a mauris dignissim posuere nec accumsan ex. Integer condimentum non nunc id ultricies. Cras non vulputate eros, efficitur pellentesque risus."
91,"steelseries monitor Ac",../images/products/lenovo-monitor.png,"144 hz",Curved,"32 inch",91,steelseries,"Curabitur imperdiet, nisl condimentum ultricies dictum, neque dolor suscipit nisl, at pharetra ipsum enim vitae elit. Morbi tincidunt finibus ex vel dignissim. Vivamus egestas quam risus, in consectetur est vehicula eu. Quisque nec quam luctus, placerat lacus iaculis, molestie erat. Mauris sapien tortor, sollicitudin maximus sapien a, egestas sodales sem. Quisque turpis eros, faucibus sit amet arcu vel, gravida lobortis mauris."
92,"steelseries monitor Ligula",../images/products/asus-monitor.png,Curved,"32 inch","144 hz",92,steelseries,"Phasellus scelerisque leo in risus laoreet venenatis. Nulla laoreet risus turpis, eu pulvinar dui pharetra vitae. Cras non eros sem. Sed id gravida ipsum. Integer lacinia ullamcorper semper. In hac habitasse platea dictumst. Suspendisse tempus, ipsum vitae fermentum venenatis, lacus ligula vulputate purus, sit amet dictum magna leo porta sem. Praesent varius purus ut est semper lacinia in vitae nunc."
93,"hyperx monitor Dictum",../images/products/dell-monitor.png,"32 inch",Curved,"144 hz",93,hyperx,"Pellentesque eu nisi dolor. Phasellus sagittis nisi augue, vel euismod velit egestas a. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec arcu augue, euismod sit amet ornare in, scelerisque et sapien. Fusce bibendum leo eu facilisis iaculis. Mauris non elit justo. Pellentesque finibus purus et nibh auctor porttitor."
94,"apple phone habitant",../images/products/iphone-gold.webp,"12 hours battery life","Fast charging","Ultra HD",94,apple,"Interdum et malesuada fames ac ante ipsum primis in faucibus. Donec varius, metus non euismod sollicitudin, eros leo egestas dolor, a fringilla enim magna in ligula. Proin lorem neque, blandit in faucibus nec, lacinia nec enim. Sed turpis nibh, vehicula at viverra ac, cursus non dolor. Cras enim leo, dictum quis malesuada ut, egestas eu ligula. Nullam vel velit sollicitudin, elementum libero vel, lobortis ipsum. Praesent porttitor orci in placerat sagittis."
95,"microsoft phone Morbi",../images/products/iphone-gray.webp,"Fast charging","12 hours battery life","Ultra HD",95,microsoft,"Nulla dignissim vestibulum lacus, et tristique magna sodales lacinia. Vivamus nibh nisl, tincidunt non blandit nec, maximus quis dolor. Sed libero tortor, ultrices ullamcorper mi vitae, tempus dapibus orci. Nunc mattis, odio eu bibendum sagittis, nisl lorem elementum justo, eget volutpat est dui sit amet urna. Mauris auctor rhoncus lacinia. Interdum et malesuada fames ac ante ipsum primis in faucibus. Vivamus eu bibendum lorem, quis fringilla diam."
96,"asus phone Tristique",../images/products/phone-sea.jpg,"Ultra HD","Fast charging","12 hours battery life",96,asus,"Fusce in vestibulum tellus, vel scelerisque nunc. Nulla euismod arcu est, sit amet dapibus sapien iaculis a. Nam malesuada, lacus sit amet convallis sollicitudin, arcu felis dapibus justo, at gravida orci leo eget nisi. Nullam porta tempus leo at consectetur. Interdum et malesuada fames ac ante ipsum primis in faucibus."
97,"apple phone senectus",../images/products/iphone-gray.webp,"12 hours battery life","Ultra HD","Fast charging",97,apple,"Quisque non accumsan arcu, quis convallis arcu. Pellentesque vitae neque et ante bibendum mattis nec in ligula. Morbi eget libero semper, ornare nunc vitae, euismod lectus. Aliquam sollicitudin lacus suscipit dui suscipit, in faucibus sapien commodo. Nunc ac dictum augue, tincidunt mattis leo. Nunc velit augue, dignissim ut erat ac, dapibus gravida augue. Duis rutrum enim in velit posuere laoreet. Vivamus rhoncus hendrerit convallis."
98,"razer phone Nam",../images/products/phone-headphone.jpg,"Ultra HD","Fast charging","12 hours battery life",98,razer,"Pellentesque rhoncus nisl eget ullamcorper auctor. Phasellus urna justo, feugiat quis risus quis, pharetra dignissim lectus. Ut ultricies elementum ex feugiat commodo. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Pellentesque sodales pulvinar vulputate. Quisque tristique sollicitudin odio non bibendum. Maecenas quis neque nec arcu ultrices consequat sed at massa. Etiam venenatis augue et lacus gravida consectetur."
99,"steelseries phone netus",../images/products/iphone-gold.webp,"12 hours battery life","Fast charging","Ultra HD",99,steelseries,"Sed quis sem diam. Nam sit amet fringilla eros, faucibus mattis diam. Sed arcu risus, pharetra et scelerisque non, convallis quis ex. Morbi id blandit diam. Nulla in tellus mi. Praesent aliquet nulla ipsum. Sed blandit nulla id nisl ullamcorper gravida. Aenean eu pharetra nunc. Donec orci nibh, blandit sed convallis et, sollicitudin tristique lacus. Morbi ac sodales mi. Proin maximus ligula aliquet sem consequat feugiat. Maecenas a dolor dui. Nulla volutpat vehicula nisi vulputate gravida."
100,"hyperx phone Et",../images/products/iphone-white.webp,"Ultra HD","Fast charging","12 hours battery life",100,hyperx,"Vivamus aliquam massa eget mi scelerisque pulvinar. Donec tortor lacus, dictum et ex non, vehicula consequat velit. Integer leo massa, ultricies sed risus gravida, viverra efficitur metus. Pellentesque eget lacus cursus, eleifend nunc a, cursus metus. Aliquam ipsum mauris, ullamcorper vitae neque sit amet, vulputate porttitor arcu. Vestibulum pulvinar odio ex, non fringilla velit sagittis vitae. In est nulla, tristique eu lobortis in, ultricies ac massa."
101,"apple phone Fames",../images/products/phone-headphone.jpg,"Fast charging","12 hours battery life","Ultra HD",101,apple,"Donec massa neque, sagittis vitae hendrerit in, porta quis arcu. Aenean cursus cursus nulla eu ultrices. Proin pellentesque nisl at bibendum sagittis. Morbi et malesuada nibh. Fusce nibh mauris, blandit eu congue nec, sodales sed lectus. Curabitur ac mi placerat, interdum turpis a, scelerisque quam. Morbi suscipit viverra lectus at feugiat. Etiam id velit interdum risus viverra viverra vestibulum dapibus purus. Donec nunc erat, consequat vitae metus eget, vestibulum eleifend neque."
102,"asus phone Velit",../images/products/iphone-gold.webp,"Ultra HD","12 hours battery life","Fast charging",102,asus,"Pellentesque rhoncus nisl eget ullamcorper auctor. Phasellus urna justo, feugiat quis risus quis, pharetra dignissim lectus. Ut ultricies elementum ex feugiat commodo. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Pellentesque sodales pulvinar vulputate. Quisque tristique sollicitudin odio non bibendum. Maecenas quis neque nec arcu ultrices consequat sed at massa. Etiam venenatis augue et lacus gravida consectetur."
